iter	Passed	Remaining
0	10	10127
1	20	10275
2	30	10031
3	39	9852
4	50	9991
5	57	9498
6	66	9499
7	72	8974
8	82	9084
9	89	8839
10	111	10014
11	115	9498
12	122	9330
13	127	8988
14	137	9039
15	149	9216
16	155	8991
17	161	8831
18	174	8998
19	188	9218
20	194	9045
21	202	8998
22	210	8930
23	215	8774
24	221	8649
25	226	8485
26	230	8320
27	237	8248
28	241	8099
29	247	8005
30	252	7881
31	258	7817
32	261	7673
33	266	7561
34	271	7473
35	275	7370
36	279	7276
37	285	7227
38	292	7214
39	296	7113
40	299	7015
41	303	6920
42	307	6847
43	310	6739
44	312	6629
45	314	6525
46	316	6426
47	319	6333
48	321	6247
49	324	6161
50	326	6081
51	329	6010
52	332	5935
53	334	5864
54	337	5802
55	340	5732
56	342	5663
57	344	5601
58	347	5548
59	350	5493
60	353	5436
61	355	5384
62	358	5336
63	362	5297
64	365	5251
65	368	5215
66	370	5165
67	373	5120
68	377	5091
69	380	5048
70	383	5012
71	388	5010
72	391	4969
73	394	4936
74	399	4932
75	403	4911
76	407	4884
77	410	4847
78	412	4808
79	414	4769
80	416	4729
81	419	4693
82	422	4672
83	425	4635
84	427	4598
85	430	4573
86	432	4541
87	438	4539
88	440	4511
89	442	4478
90	448	4475
91	450	4450
92	452	4417
93	454	4385
94	458	4366
95	461	4341
96	463	4315
97	466	4292
98	469	4273
99	473	4257
100	476	4244
101	479	4224
102	483	4211
103	490	4225
104	497	4238
105	506	4269
106	516	4307
107	524	4336
108	536	4384
109	548	4437
110	553	4432
111	564	4479
112	576	4523
113	584	4545
114	594	4573
115	602	4594
116	610	4610
117	619	4632
118	626	4641
119	633	4643
120	639	4647
121	645	4644
122	651	4648
123	657	4647
124	664	4648
125	669	4645
126	676	4648
127	684	4662
128	692	4672
129	698	4674
130	705	4678
131	712	4687
132	722	4708
133	731	4724
134	739	4740
135	749	4762
136	761	4795
137	772	4828
138	783	4853
139	792	4870
140	800	4879
141	810	4898
142	817	4898
143	823	4894
144	829	4888
145	835	4886
146	841	4884
147	847	4881
148	855	4885
149	864	4900
150	873	4910
151	880	4912
152	887	4913
153	894	4912
154	900	4911
155	906	4903
156	912	4898
157	920	4903
158	928	4910
159	937	4919
160	948	4940
161	957	4954
162	968	4974
163	977	4984
164	986	4991
165	994	4994
166	1001	4994
167	1010	5006
168	1017	5002
169	1023	4997
170	1029	4993
171	1036	4987
172	1041	4980
173	1048	4978
174	1055	4974
175	1060	4967
176	1066	4961
177	1073	4957
178	1080	4956
179	1088	4957
180	1096	4961
181	1104	4963
182	1112	4966
183	1120	4970
184	1128	4973
185	1136	4974
186	1145	4981
187	1155	4988
188	1164	4995
189	1173	5002
190	1182	5009
191	1193	5022
192	1203	5031
193	1213	5039
194	1222	5045
195	1230	5047
196	1237	5044
197	1245	5045
198	1253	5045
199	1262	5049
200	1271	5055
201	1280	5056
202	1288	5059
203	1296	5060
204	1304	5057
205	1312	5057
206	1320	5058
207	1327	5056
208	1336	5057
209	1343	5055
210	1353	5060
211	1362	5065
212	1372	5072
213	1386	5091
214	1397	5103
215	1409	5115
216	1422	5131
217	1432	5139
218	1441	5139
219	1448	5134
220	1454	5127
221	1460	5119
222	1466	5108
223	1470	5094
224	1475	5082
225	1479	5066
226	1483	5051
227	1487	5037
228	1491	5022
229	1495	5007
230	1500	4994
231	1504	4981
232	1509	4970
233	1515	4960
234	1519	4947
235	1524	4935
236	1528	4922
237	1533	4909
238	1538	4897
239	1542	4884
240	1546	4871
241	1551	4859
242	1556	4848
243	1560	4836
244	1565	4825
245	1570	4813
246	1575	4802
247	1580	4792
248	1585	4780
249	1590	4771
250	1595	4761
251	1600	4751
252	1606	4742
253	1612	4735
254	1616	4724
255	1621	4712
256	1626	4702
257	1631	4692
258	1636	4682
259	1641	4671
260	1646	4661
261	1650	4650
262	1655	4638
263	1660	4629
264	1664	4617
265	1669	4606
266	1673	4594
267	1677	4583
268	1682	4572
269	1687	4562
270	1692	4552
271	1697	4542
272	1701	4531
273	1706	4520
274	1710	4510
275	1715	4500
276	1719	4489
277	1724	4478
278	1729	4469
279	1733	4458
280	1738	4447
281	1742	4436
282	1747	4427
283	1751	4416
284	1757	4408
285	1762	4399
286	1767	4390
287	1772	4381
288	1777	4372
289	1782	4363
290	1786	4353
291	1792	4346
292	1797	4338
293	1803	4330
294	1808	4322
295	1813	4313
296	1818	4304
297	1825	4299
298	1831	4293
299	1837	4286
300	1842	4278
301	1847	4269
302	1852	4260
303	1856	4251
304	1860	4240
305	1864	4228
306	1868	4217
307	1872	4206
308	1876	4195
309	1879	4183
310	1883	4172
311	1887	4161
312	1891	4150
313	1894	4139
314	1898	4128
315	1902	4118
316	1906	4108
317	1910	4097
318	1915	4088
319	1920	4080
320	1926	4074
321	1932	4068
322	1939	4065
323	1946	4062
324	1955	4061
325	1964	4062
326	1980	4076
327	1990	4078
328	2000	4080
329	2010	4081
330	2020	4083
331	2030	4084
332	2039	4084
333	2046	4081
334	2054	4078
335	2061	4073
336	2068	4069
337	2075	4065
338	2083	4063
339	2092	4061
340	2100	4059
341	2109	4059
342	2119	4059
343	2128	4058
344	2135	4054
345	2144	4053
346	2151	4048
347	2157	4042
348	2164	4037
349	2170	4031
350	2179	4029
351	2186	4024
352	2192	4019
353	2200	4015
354	2206	4009
355	2212	4002
356	2217	3994
357	2223	3987
358	2229	3981
359	2236	3975
360	2243	3970
361	2249	3964
362	2255	3958
363	2261	3952
364	2267	3944
365	2272	3936
366	2278	3930
367	2284	3924
368	2293	3921
369	2300	3917
370	2309	3915
371	2317	3911
372	2325	3908
373	2332	3904
374	2341	3902
375	2351	3902
376	2362	3903
377	2374	3906
378	2385	3908
379	2397	3912
380	2408	3912
381	2416	3909
382	2424	3905
383	2430	3898
384	2435	3890
385	2440	3882
386	2445	3872
387	2449	3864
388	2454	3855
389	2458	3845
390	2462	3835
391	2467	3826
392	2471	3816
393	2475	3806
394	2478	3796
395	2482	3786
396	2486	3776
397	2490	3767
398	2494	3756
399	2497	3746
400	2502	3737
401	2506	3728
402	2512	3721
403	2518	3715
404	2525	3710
405	2533	3706
406	2540	3701
407	2548	3698
408	2556	3694
409	2562	3688
410	2569	3681
411	2575	3675
412	2581	3669
413	2589	3665
414	2596	3660
415	2605	3658
416	2614	3654
417	2622	3651
418	2630	3647
419	2637	3642
420	2645	3638
421	2653	3633
422	2663	3633
423	2672	3630
424	2682	3628
425	2689	3624
426	2696	3618
427	2702	3612
428	2709	3606
429	2717	3602
430	2725	3598
431	2734	3595
432	2744	3594
433	2754	3592
434	2764	3591
435	2775	3590
436	2786	3589
437	2796	3588
438	2824	3609
439	2834	3608
440	2843	3603
441	2850	3598
442	2857	3592
443	2863	3585
444	2869	3578
445	2877	3574
446	2885	3570
447	2894	3566
448	2902	3562
449	2911	3558
450	2919	3553
451	2927	3549
452	2935	3545
453	2945	3542
454	2956	3540
455	2965	3538
456	2976	3536
457	2986	3534
458	2996	3532
459	3007	3530
460	3017	3528
461	3030	3529
462	3040	3526
463	3047	3520
464	3054	3514
465	3061	3507
466	3068	3502
467	3077	3497
468	3085	3492
469	3093	3488
470	3102	3485
471	3112	3481
472	3120	3477
473	3129	3472
474	3138	3468
475	3148	3466
476	3159	3464
477	3170	3462
478	3180	3458
479	3190	3456
480	3200	3453
481	3210	3450
482	3220	3446
483	3227	3441
484	3236	3436
485	3244	3430
486	3267	3441
487	3274	3435
488	3281	3428
489	3289	3424
490	3298	3419
491	3307	3415
492	3316	3410
493	3325	3406
494	3333	3400
495	3340	3394
496	3348	3388
497	3354	3381
498	3360	3374
499	3366	3366
500	3370	3357
501	3376	3349
502	3381	3341
503	3386	3333
504	3391	3324
505	3396	3315
506	3400	3306
507	3405	3298
508	3411	3290
509	3417	3283
510	3422	3275
511	3428	3268
512	3435	3261
513	3441	3254
514	3448	3247
515	3455	3240
516	3463	3235
517	3472	3230
518	3480	3225
519	3488	3220
520	3497	3215
521	3505	3209
522	3513	3204
523	3522	3199
524	3531	3195
525	3539	3189
526	3548	3185
527	3558	3181
528	3570	3179
529	3581	3176
530	3593	3173
531	3604	3170
532	3614	3166
533	3624	3162
534	3631	3156
535	3639	3150
536	3646	3144
537	3652	3136
538	3658	3128
539	3662	3119
540	3667	3111
541	3671	3102
542	3676	3094
543	3682	3086
544	3689	3080
545	3695	3072
546	3701	3065
547	3708	3059
548	3715	3051
549	3721	3044
550	3727	3037
551	3733	3029
552	3739	3023
553	3748	3017
554	3756	3011
555	3763	3005
556	3772	3000
557	3782	2996
558	3807	3004
559	3815	2998
560	3823	2991
561	3829	2984
562	3834	2976
563	3839	2968
564	3844	2959
565	3849	2952
566	3854	2943
567	3859	2935
568	3865	2928
569	3870	2919
570	3874	2911
571	3881	2904
572	3887	2897
573	3895	2891
574	3904	2885
575	3912	2880
576	3921	2874
577	3930	2869
578	3938	2863
579	3948	2859
580	3957	2854
581	3967	2849
582	3978	2845
583	3991	2842
584	4002	2839
585	4012	2834
586	4020	2829
587	4027	2822
588	4035	2815
589	4041	2808
590	4046	2800
591	4051	2791
592	4055	2783
593	4059	2774
594	4064	2766
595	4068	2757
596	4072	2749
597	4077	2740
598	4081	2732
599	4085	2723
600	4089	2715
601	4094	2706
602	4098	2698
603	4102	2689
604	4107	2681
605	4112	2673
